PartyName,PartyTaxCode,PartyLogo,PLFirstName,PLLastName,PartyFoundingDate (dd-mm-yy),PartyPolicy
แทนคุณแผ่นดิน,053,IMG11,วิชัย,ศิรินคร,09-11-50,"“แรงงานหน้าใส ใส่ใจคุณภาพชีวิต” โดย “สร้างคน สร้างอาชีพ สร้างรายได้”ประกอบด้วย ออม กู้ยืม ลงทุน สวัสดิการ “ปลดหนี้ ธนาคารแรงงาน” | มีบุตรครอบครัวละ 3 คน “ท้องปั๊บ รับสวัสดิการถึง ป.ตรี” |  “มีรายได้ระหว่างเรียน”ปรับเงินเดือน ผู้จบอาชีวะ” | มีศักดิ์ศรี มั่นคงในอาชีพ “สภาวิชาชีพจป./รปภ.” | ลดรายจ่ายสร้างรายได้ สว่างทั่วไทย “ไฟฟ้าโซล่าเซลล์/ชีวมวล เทคโนโลยีสะอาด” | “รับเอกสารสิทธิ ที่ดินซับซ้อน” “ชีวิตเกษตร เศรษฐกิจพอเพียง” | เพิ่มสวัสดิการ “ผู้สูงอายุ (ปี) 1,000 - 3,000 บาท” “ค่ารักษาพยาบาล หลังเกษียณของลูกจ้างประจำ, พนักงานราชการ,"
ชาติไทยพัฒนา,055,IMG12,กัญจนา,ศิลปอาชา,18-04-51,มุ่งพัฒนาชาติไทย ด้วยนโยบายเสริมสร้างพื้นฐานเศรษฐกิจของประเทศให้มั่นคง สนับสนุนการเกษตรทันสมัยโดยการใช้เทคโนโลยี ฟื้นฟูประมง ส่งเสริมบัณฑิตวิชาการเกษตร ลดเหลื่อมล้ำทางการศึกษา ลดภาระครู สร้างแผนการพัฒนาการศึกษาแห่งชาติ ปราศจากการเมือง จัดสวัสดิการให้ทั่วถึง ส่งเสริมสุขภาพเชิงป้องกันก่อนเจ็บป่วย สนับสนุนการกระจายอำนาจบริหารสู่ท้องถิ่น พัฒนาเศรษฐกิจด้วยการท่องเที่ยว กระจายรายได้ไปสู่ทุกชุมชนอย่างสมดุล พร้อมพัฒนาเมืองให้สะดวกปลอดภัย อากาศสะอาด เป็นมิตรต่อสุขภาพและรองรับประชาชนทุกสภาพ-ทุกช่วงวัย เร่งพัฒนาและปฏิรูปประเทศไทยให้ก้าวผ่านความขัดแย้งเข้าสู่ยุคแห่งความเจริญที่ทันสมัยและยั่งยืน
อนาคตไทย,056,IMG13,พรศักดิ์,ธรรมนิมิตร์,25-04-51,NULL
ธรรมาภิบาลสังคม,059,IMG14,ชาญชัย,ตั้งชู,29-08-51,NULL
ภูมิใจไทย,063,IMG15,อนุทิน,ชาญวีรกุล,05-11-51,"ทวงคืนกำไรให้เกษตรกร โดยเสนอกฎหมายระบบกำไรแบ่งปัน ตั้งกองทุนข้าว ข้าวหอมมะลิ ตันละ 18,000 บาท บวกกำไรเพิ่ม 1,500 บาท รวมเป็นเงิน 19,500 บาท มันสำปะหลัง ไม่ต่ำกว่า กก.ละ 4 บาท อ้อย ไม่ต่ำกว่าตันละ 1,200 บาท ปาล์มทะลาย ไม่ต่ำกว่า กก.ละ 5 บาท ยางพารา เป้าหมายราคา กก.ละ 70 บาท | ยกระดับ อสม. เป็นหมอประจำบ้าน ค่าตอบแทน 2,500 – 10,000 บาท ต่อเดือน | แก้หนี้ กยศ. โดยปลดภาระผู้ค้ำประกัน ไม่มีดอกเบี้ย ไม่มีค่าปรับ ผ่อนคืนเงินต้น 10 ปี และปลอดหนี้ 5 ปี | กัญชาไทย ปลูกได้เสรีโดยแก้ พ.ร.บ. ยาเสพติดให้โทษ นำกัญชามาใช้ในทางการแพทย์ เป็นพืชแก้จน ปลูกได้ สูบได้ ภายใต้กฎหมาย"
ประชาธรรม,073,IMG16,ชานนท์,เจะหะมะ,16-04-52,NULL
สังคมประชาธิปไตยไทย,076,IMG17,ชาลี,ลอยสูง,25-06-52,กล้าหาญ เสียสละ ซื่อสัตย์สุจริต จิตสาธารณะ อุดมการณ์ของพรรค คุ้มครองศักดิ์ศรีความเป็นมนุษย์ให้มีความเสมอภาค ยึดมั่นในแนวทางปรัชญาเศรษฐกิจพอเพียง สร้างสังคมประชาธิปไตย ขจัดการทุจริตคอร์รัปชั่นแก้ความเหลื่อมล้ำเป็นวาระแห่งชาติ โดยจัดรัฐสวัสดิการสังคมแบบถ้วนหน้าพัฒนาคุณภาพคนเป็นสำคัญ การศึกษาฟรีถึงปริญญาตรี รักษาฟรีทุกโรค เพิ่มสิทธิประโยชน์ประกันสังคมและเงินทดแทน จัดเก็บภาษีแบบก้าวหน้า ปฏิรูปที่ดินและปลดหนี้สินที่ไม่เป็นธรรมให้เกษตรกร ส่งเสริมคุ้มครองระบบสหกรณ์ หยุดแปรรูปรัฐวิสาหกิจ กระจายหุ้นปตท. ให้ประชาชน ลดราคาน้ำมันให้เป็นธรรมแก่ผู้บริโภค ยุติการจ้างงานแบบชั่วคราว ค่าจ้างขั้นต่ำเท่ากันทั่วประเทศ
พลังคนกีฬา,082,IMG18,วิรุณ,เกิดชูกุล,28-10-52,เปิดโอกาสให้ผู้มีความสามารถจากภาคประชาชนเข้ามาบริหารประเทศในตำแหน่งรัฐมนตรี สนับสนุนให้ประชาชนได้มีส่วนร่วม การเมืองภาคพลเมืองอย่างจริงจังและเป็นรูปธรรม
รักประเทศไทย,089,IMG19,สุุรพนธ์,เวชกร,18-02-53,NULL
ประชาสามัคคี,091,IMG20,สมพร,จูมั่น,08-03-53,NULL
ไทยมหารัฐพัฒนา,096,IMG21,เชือก,โชติช่วย,06-07-53,NULL
เพื่อธรรม,098,IMG22,นลินี,ทวีสิน,23-08-53,สร้างสังคมสันติสุขให้เกิดขึ้นในหมู่ประชาชน ไม่ว่าจะนับถือศาสนาใด เพื่อร่วมแรงร่วมใจเป็นอันหนึ่งอันเดียวกันในการพัฒนาชีวิตความเป็นอยู่ของทุกคนให้ปลอดภัย และมีฐานะทางเศรษฐกิจที่ดีขึ้น | มุ่งแก้ปัญหาราคาพืชผลทางการเกษตรที่ตกต่ำ ทั้งยางพารา ปาล์ม และพืชเศรษฐกิจอื่นๆ รวมถึงการประมง และการค้าขายอื่น เพื่อยกระดับคุณภาพชีวิตของประชาชนให้มีหลักประกันทางอาชีพและรายได้ที่มั่นคง ยั่งยืน | มุ่งพัฒนาการท่องเที่ยวในพื้นที่จังหวัดภาคใต้ โดยสร้างและพัฒนาแหล่งท่องเที่ยวทางวัฒนธรรมและทางธรรมชาติ ควบคู่ไปกับการอนุรักษ์สิ่งแวดล้อมและวิถีชีวิตของชุมชน
ประชาธิปไตยใหม่,109,IMG23,สุรทิน,พิจารณ์,21-04-54,"จัดตั้งกองทุนบำนาญประชาชน ให้บุคคลที่มีอายุ (ปี) 60 ปี ขึ้นไป รับบำนาญเดือนละ 3,000 บาท โดยแบ่งจ่ายสัปดาห์ละ 750 บาท | บัตรประชาชนมีมูลค่า 60,000 บาท สามารถนำมาประกันตัว ในชั้นสอบสวนและชั้นศาลได้ | จัดตั้งโรงพยาบาลรักษาหนี้ ปลูกต้นไม้ใช้หนี้ หนีโลกร้อน ตั้งกระทรวงศาสนา |  ส่งเสริมการใช้พลังงานแสงอาทิตย์ พลังงานทางเลือก สร้างระบบเก็บน้ำลงใต้ดินและนำน้ำมาใช้ | ปฏิรูปการศึกษา เป็นการศึกษาอัจฉริยะ (SMART EDUCATION) เรียนฟรีตั้งแต่เริ่มต้นจนถึงปริญญาตรี | กระตุ้นเศรษฐกิจ ด้วยนโยบาย Open Bangkok Open Thailand"
พลังชล,112,IMG24,เชาว์,มณีวงษ์,04-05-54,NULL
สร้างไทย,115,IMG25,ประดิษฐ์,วงศ์วิลัย,02-06-54,NULL
ยางพาราไทย,116,IMG26,วรภัทร,ชำสุวรรณ,24-06-54,ผลักดันการใช้ยางพาราในประเทศอย่างเป็นรูปธรรมจริงจังและชัดเจน จัดตั้งกองทุนเสริมสร้างความมั่นคงในอาชีพและรักษาเสถียรภาพราคายาง สร้างระบบตลาดยางพาราให้ครอบคลุมครบวงจร ถูกต้องและเป็นธรรม สะสางปัญหาสวนยางในเขตที่ดินที่ไม่มีเอกสารสิทธิให้ชัดเจนและเป็นธรรม สนับสนุน สถาบันเกษตรกร ให้เป็นเกษตรอุตสาหกรรมอย่างเต็มรูปแบบ สนับสนุน อุตสาหกรรมของคนไทยในทุกด้านให้ก้าวไกล สู่ระดับโลก สร้างสังคมและชุมชนเข็มแข็ง ปลอดยาเสพติด ผลักดันแก้ปัญหาสิ่งแวดล้อม และปฏิรูประบบการศึกษา
ครูไทยเพื่อประชาชน,118,IMG27,ปรีดา,บุญเพลิง,28-06-54,ปฏิวัติการศึกษา คืนคุณค่าสู่สังคมไทย พร้อมก้าวไกลเทคโนโลยี บัตรคนดีปลดหนี้ประชาชน ผลิตภัณฑ์ชุมชนเพิ่มราคา ยางพารากิโลสองร้อย
พลังสหกรณ์,122,IMG28,จักรี,สุจริตธรรม,20-02-55,"มุ่งแก้ไขฟื้นฟูระบบเศรษฐกิจของประเทศ ต่อต้านทุนใหญ่-ผูกขาดเอาเปรียบ ลดช่องว่างรวย-จน จะจัดการที่ดินของรัฐและนายทุนใหญ่มาสร้าง ""นิคมสหกรณ์"" ให้เกษตรกรรายย่อยเข้าทำกินให้เสร็จสิ้นใน 2 ปี/ส่งเสริมการแปรรูปเพิ่มมูลค่าสินค้าการเกษตรให้มีอุปกรณ์การตลาดของสหกรณ์ครบทุกตำบล ภายใน 2 ปี/ทุกหมู่บ้านมีร้านจำหน่ายผลิตผลแบบสหกรณ์ร้านค้า/เงินล้นระบบในสหกรณ์ได้รับการคุ้มครอง จัดตั้งธนาคารสหกรณ์/ปรับปรุงกฎหมายที่ไม่เป็นธรรมและปรับปรุงส่วนราชการที่เป็นอุปสรรค/ส่งเสริมปลูกไม้เศรษฐกิจแบบวนเกษตรปีละ 1 ล้านครอบครัว/สนับสนุนการศึกษาเรียนฟรีทุกระดับจนถึงปริญญาตรี นักศึกษามีงานทำระหว่างเรียน, จัดสวัสดิการแห่งรัฐสร้างสุขอนามัยพื้นฐานภาคประชาชน..ต่อต้านทุจริตคอร์รัปชั่นทุกรูปแบบ"
พลังท้องถิ่นไท,124,IMG29,ชัชวาลล์,คงอุดม,30-03-55,"ลดจำนวนหน่วยงานที่ทับซ้อนภารกิจ เปิดโอกาสให้ประชาชนมีส่วนร่วมในการบริหารราชการแผ่นดิน | การกระจายอำนาจเป็นวาระแห่งชาติ ให้ อปท. และราชการส่วนท้องที่ กำนันผู้ใหญ่บ้าน เป็นกลไกหนุนเสริมภาคประชาชน ยกระดับและพัฒนาคุณภาพชีวิตได้ด้วยตนเอง | จัดตั้งสภาพลเมืองเพื่อเป็นกลไกให้ประชาชนตรวจติดตาม แนะนำนักการเมือง และระบบราชการที่จัดบริการประชาชน | เปลี่ยนการศึกษาไทย ทักษะนำวิชาการ เชื่อมโยงระบบเศรษฐกิจฐานรากสู่เป้าหมายคนรุ่นใหม่มีรายได้ 500,000 บาทต่อปี | สร้างความมั่นคงทางรายได้ แก้จนครัวเรือน แก้จนชุมชน หนุนเสริมสินค้าชุมชน เป็นสินค้าสวัสดิการแห่งรัฐ | สร้างมาตรการแก้ปัญหายาเสพติด จับจริง – ลุยจริง จัดให้มีตำรวจชุมชนตรวจตรา 24 ชม. นำลูกหลานกลับสู่อ้อมกอดพ่อแม่"
พลังเครือข่ายประชาชน,127,IMG30,สขภณ,ธีรชินคุณ,11-07-55,NULL
ถิ่นกาขาวชาววิไล,129,IMG31,ชุมชฎาธาร,หาญณรงค์,07-08-55,ยึดมั่นในการปกครองระบอบประชาธิปไตย อันมีพระมหากษัตริย์ทรงเป็นประมุข | ปัญหาของชาติต้องได้รับการแก้ไขด้วยธรรมวินัย ไตรสิกขา ศีล สมาธิ ปัญญา สนับสนุนส่งเสริมทุกศาสนา | จะส่งเสริมคนให้เป็นมนุษย์และเทวดา จะทำให้สังคมเป็นสังคมนิยมธรรม ให้คนได้รับการศึกษาอย่างทั่วถึง เรียนฟรีตั้งแต่ปฐมวัยจนถึงปริญญาตรี ให้ทุกคนรักษาพยาบาลฟรีทุกโรค ปฏิรูปพลังงาน ผลักดันราคาพืชผลทางการเกษตรให้มีราคาสูงขึ้น | เศรษฐกิจเป็นเศรษฐกิจพอเพียง ตามปรัชญาเศรษฐกิจพอเพียง การเมือง ใช้หลักคุณธรรมนำการเมือง ให้คนยากจนมีที่อยู่อาศัย ที่ทำกิน และเร่งแก้ปัญหาความยากจนและปัญหาจราจร กรุงเทพรถติด เศรษฐกิจย่ำแย่ สิ่งแวดล้อมเป็นพิษ ให้ทุกคนมีชีวิต
รักษ์ผืนป่าไทย,133,IMG32,ดำรงค์,พิเดช,09-01-56,1. เพิ่มป่าไม้ของประเทศจากการปลูกต้นไม้เพื่อสู้ภาวะโลกร้อน ประชาชนจะมีรายได้จากการปลูกต้นไม้ทดแทนโดยทางราชการจะเป็นผู้เพาะกล้าไม้ให้ 2. ที่ดินกรรมสิทธิ์และที่ดินที่รัฐจัดสรรให้สามารถตัดต้นไม้ที่ปลูกได้แต่จะไม่ได้รับเงินชดเชยภาวะโลกร้อน 3. พื้นที่ป่าสงวนแห่งชาติที่ราษฎรยากจนถูกจับให้ยุติคดีและให้เช่าพื้นที่จากกรมป่าไม้ 4. ยกเลิกชนิดพืชหวงห้ามและสัตว์ป่าคุ้มครองที่สามารถเพาะเลี้ยงได้บางชนิด 5. ห้ามใช้วัสดุที่ย่อยสลายได้ยากและให้ใช้พืชผักปลอดสารเคมีในการประกอบอาหารในสถานที่ราชการทุกแห่งทั่วประเทศไทย
ชาติประชาธิปไตยก้าวหน้า,141,IMG33,วิชิต,ดิษฐประสพ,28-06-56,NULL
เพื่อสันติ,142,IMG34,ปราโมทย์,สมะดี,18-07-56,NULL
พลังประเทศไทย,143,IMG35,สรินยา,คงมี,31-07-56,NULL
ไทรักธรรม,144,IMG36,พีระวิทย์,เรื่องลือดลภาค,16-08-56,"พรรคไทรักธรรมมุ่งเน้นให้ประชาชนมีอาชีพเสริมเพิ่มรายได้จากอาชีพหลัก พร้อมจัดหาการตลาดให้อันนำไปสู่การลดภาระหนี้สิน เกิดเป็นเงินออมแก่ประชาชนอีกทั้งยังได้ระบบเงินปันผลโดยสหกรณ์ออนไลน์จากการทำอาชีพเสริม สร้างความเข้าใจแก่เกษตรกรไม่ให้เสียเปรียบนายทุน ให้เกษตรกรได้ลดต้นทุนการผลิต เพิ่มผลผลิตและราคาขายพืชผล อีกทั้งพรรคไทรักธรรมจะเป็นพ่อค้าคนกลางในสินค้าต่าง ๆ จนทำให้ประชาชนผู้บริโภคได้ซื้อในราคาถูก โดยสอนให้ประชาชนรู้จักผลิต รู้จักบริโภค และรู้จักค้าขาย นั้นคือ ""นโยบาย เพื่อปากท้องของประชาชน เมื่อประชาชนอยู่ดีกินดี ทุก ๆ ตำบลประเทศไทยจะพัฒนาและเจริญก้าวหน้าอย่างยั่งยืน"""
เสรีรวมไทย,145,IMG37,เสรีพิศุทธ์,เตมียเวส,29-08-56,หยุดความยากจน ลดความเหลื่อมล้ำของคนในชาติ | หยุดคอรัปชั่น นำงบประมาณมาพัฒนาประเทศ | หยุดปัญหายาเสพติด ขจัดผู้มีอิทธิพลให้สิ้นซาก | หยุดเผด็จการ ปฏิรูปทหาร | หยุดไฟใต้ สร้างสังคมสันติสุขสมานฉันท์ | หยุดสงครามสีเสื้อ สร้างความปรองดอง ก้าวสู่อนาคต
รักษ์ธรรม,147,IMG38,ศักดาวุธ,โกมลประเสริฐ,04-09-56,NULL
รวมพลังไทย,148,IMG39,อำนาจ,สอนทะมาตย์เดชา,11-09-56,NULL
เพื่อชาติ,149,IMG40,สงคราม,กิจเลิศไพโรจน์,18-09-56,เร่งสร้างและธำรงไว้ซึ่งการปกครองในระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข การบริหารมีหลักธรรมมาภิบาล ขจัดการคอร์รัปชั่น มีสวัสดิการโดยรัฐ พัฒนาเศรษฐกิจทุกภาคส่วนอย่างสมดุลย์ พยุงราคาสินค้าการเกษตร ลดความเหลื่อมล้ำ นำหลักเศรษฐกิจพอเพียงมาเป็นหลักชัยในการพัฒนา เน้นการศึกษาสร้างคน สร้างงาน สร้างสังคมที่เข้มแข็งอบอุ่น ปลอดยาเสพติด ประชาชนมีความสุข มีสิทธิ เสรีภาพ และมีความเสมอภาคเท่าเทียมกัน
เพื่ออนาคต,150,IMG41,พูลเดช,กรรณิการ์,26-09-56,NULL
ชาติไทยสามัคคี,152,IMG42,นพพล,คงบันทึก,11-10-56,NULL
พลังประชาธิปไตย,153,IMG43,พูนพิพัฒน์,นิลรังษี,06-11-56,สร้างรัฐสวัสดิการจากครรภ์มารดาถึงวายชนม์ | มุ่งเน้นการกระจายอำนาจสู่ท้องถิ่น | เพิ่มสวัสดิการ กำนัน ผู้ใหญ่บ้าน อปพร. และ อสม. | ยกระดับโรงพยาบาลส่งเสริมสุขภาพตำบล เป็นโรงพยาบาลให้บริการเต็มรูปแบบ | การศึกษาให้เรียนฟรี จาก ป.1 ถึง ป.ตรี | จัดสรรทรัพยากรของชาติให้เป็นธรรม (ดิน น้ำ ลม ไฟ) | สนับสนุนให้ประชาชนและสื่อมวลชนมีส่วนร่วมในการแสดงออกอย่างเสรีและ เป็นธรรม | ปรับปรุง แก้ไข กฎหมายรัฐธรรมนูญ ให้สอดคล้องกับการเป็นอยู่ของวัฒนธรรมไทย และ นานาชาติ
ภราดรภาพ,154,IMG44,ดำรงดิศ,ดิศกุล,13-11-56,นโยบายพรรคภราดรภาพ ที่สามารถออกแบบได้จากคนไทยทุกคนมีส่วนร่วม เน้นการแก้ปัญหาด้านเศรษฐกิจและสังคม รวมไปถึง การสร้างความเท่าเทียมกัน นโยบายคนรวยต้องช่วยคนจนเพื่อลดความเหลื่อมล้ำ ส่งเสริมความสามัคคีของคนในชาติ พัฒนาประเทศให้มี ความเจริญรุ่งเรืองก้าวหน้าในทุกด้าน สร้างการเมืองไทยให้มีวัฒนธรรมที่ดีงามปราศจากการใส่ร้ายป้ายสี ไม่สร้างความแตกแยก สร้างโอกาสด้านการศึกษาให้ดีขึ้น สนับสนุนการปกครองระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข
พลังไทยรักชาติ,155,IMG45,สุเทพ,เข้มแข็งปรีชานนท์,28-11-56,"ประชาชนได้รับการบริการจากรัฐมาตรฐานเท่าเทียมกันทั้งหมด ประกันราคาข้าว เกวียนละ 15,000 บ. จะช่วยคนไทยที่ไม่มีที่อยู่อาศัยจะช่วยให้มีที่ของตนเอง คนละ 40 ตรว. ปราบปรามผู้มีอิทธิพลและยาเสพติดเป็นวาระแห่งชาติ อนุรักษ์ทรัพยากรธรรมชาติเป็นวาระแห่งชาติ ส่งเสริมนักวิทยาศาสตร์ในการคิดสร้างผลผลิต และคิดค้นทางด้านต่าง ๆ อย่างจริงจัง ครอบครัวคนจนเรียนฟรี อนุบาล ม.ปลาย กู้เรียนจบปริญญาไม่ต้องเสียดอกเบี้ย รักษาฟรีทุกโรค สำหรับคนจนและไม่มีเงิน ยื่นบัตรประชาชนขอรักษาฟรีได้เลย ประกันราคาผลิตผลทางการเกษตรทุกชนิดให้ได้ในราคาที่ต้องมีกำไร 3,000 – 5,000 บ. ขึ้นไป"
เมืองไทยของเรา,156,IMG46,พิษณุ,พุทธสิม,28-11-56,NULL
